,SPX,EPS,TBill,EP,Spread,Signal,SPX_ret,TBill_ret,Strategy_ret
2001-12-31,1148.08,47.5007,0.0188125,0.041374033168420324,0.022561533168420324,1,-0.015565117413420593,0.0015677083333333333,-0.015565117413420593
2002-01-31,1130.21,43.4586,0.018799999999999997,0.03845179214482264,0.01965179214482264,1,-0.02077490023977846,0.0015666666666666665,-0.02077490023977846
2002-02-28,1106.73,54.1983,0.019,0.048971564880323115,0.029971564880323116,1,0.03673886133022508,0.0015833333333333333,0.03673886133022508
2002-03-29,1147.39,54.0696,0.0203,0.04712399445698498,0.02682399445698498,1,-0.06141765223681572,0.0016916666666666666,-0.06141765223681572
2002-04-30,1076.92,53.7265,0.0192,0.04988903539724399,0.030689035397243995,1,-0.009081454518441445,0.0015999999999999999,-0.009081454518441445
2002-05-31,1067.14,53.6135,0.0189625,0.05024036208932286,0.03127786208932286,1,-0.0724647187810411,0.0015802083333333334,-0.0724647187810411
2002-06-28,989.81,53.0227,0.018600000000000002,0.05356856366373345,0.03496856366373345,1,-0.07899495862842354,0.0015500000000000002,-0.07899495862842354
2002-07-31,911.62,51.5124,0.0182375,0.05650643908646146,0.038268939086461465,1,0.004881419889866345,0.0015197916666666667,0.004881419889866345
2002-08-30,916.07,51.1394,0.0180625,0.05582477321602061,0.03776227321602062,1,-0.11002434311788412,0.0015052083333333332,-0.11002434311788412
2002-09-30,815.28,50.4829,0.0179,0.061920935138848006,0.04402093513884801,1,0.08644882739672255,0.0014916666666666665,0.08644882739672255
2002-10-31,885.76,49.8416,0.0168625,0.05626986994219653,0.03940736994219653,1,0.05706963511560681,0.0014052083333333332,0.05706963511560681
2002-11-29,936.31,49.6681,0.01425,0.053046640535720016,0.03879664053572002,1,-0.06033258215761861,0.0011875,-0.06033258215761861
2002-12-31,879.82,49.5109,0.0138,0.05627389693346366,0.04247389693346366,1,-0.027414698461048825,0.00115,-0.027414698461048825
2003-01-31,855.7,49.9859,0.013500000000000002,0.05841521561294846,0.044915215612948464,1,-0.01700362276498779,0.0011250000000000001,-0.01700362276498779
2003-02-28,841.15,55.0981,0.0134,0.06550329905486536,0.05210329905486536,1,0.00835760565891941,0.0011166666666666666,0.00835760565891941
2003-03-31,848.18,54.6676,0.0127875,0.06445282840906412,0.05166532840906412,1,0.08104411799382216,0.001065625,0.08104411799382216
2003-04-30,916.92,54.704,0.0131,0.05966060288792916,0.04656060288792916,1,0.050898660733760925,0.0010916666666666668,0.050898660733760925
2003-05-30,963.59,54.8708,0.0128,0.056944135991448645,0.044144135991448646,1,0.011322242862628284,0.0010666666666666667,0.011322242862628284
2003-06-30,974.5,54.9369,0.011162499999999999,0.05637444843509492,0.04521194843509492,1,0.016223704463827593,0.0009302083333333332,0.016223704463827593
2003-07-31,990.31,55.2106,0.011143799999999999,0.055750825499086144,0.04460702549908614,1,0.01787319122295039,0.0009286499999999999,0.01787319122295039
2003-08-29,1008.01,55.5435,0.011399999999999999,0.05510213192329441,0.04370213192329441,1,-0.011944325949147294,0.0009499999999999999,-0.011944325949147294
2003-09-30,995.97,55.6323,0.0116,0.05585740534353444,0.044257405343534444,1,0.054961494824141255,0.0009666666666666666,0.054961494824141255
2003-10-31,1050.71,55.9587,0.0116938,0.05325798745610111,0.041564187456101104,1,0.007128513100665312,0.0009744833333333334,0.007128513100665312
2003-11-28,1058.2,56.2302,0.0117188,0.053137592137592136,0.041418792137592135,1,0.05076545076545069,0.0009765666666666666,0.05076545076545069
2003-12-31,1111.92,56.4345,0.011518800000000001,0.05075410101446147,0.03923530101446147,1,0.017276422764227695,0.0009599000000000001,0.017276422764227695
2004-01-30,1131.13,56.5974,0.0113,0.05003615853173375,0.038736158531733754,1,0.012209029908144986,0.0009416666666666666,0.012209029908144986
2004-02-27,1144.94,63.6316,0.011200000000000002,0.055576362080109,0.044376362080109,1,-0.016358935839432598,0.0009333333333333334,-0.016358935839432598
2004-03-31,1126.21,64.3569,0.0111,0.05714467106489908,0.04604467106489908,1,-0.0167819500803581,0.000925,-0.0167819500803581
2004-04-30,1107.31,65.5965,0.0118,0.059239508358093045,0.04743950835809305,1,0.012074306201515395,0.0009833333333333332,0.012074306201515395
2004-05-31,1120.68,66.4946,0.01315,0.05933415426348289,0.046184154263482886,1,0.017989078059749364,0.0010958333333333334,0.017989078059749364
2004-06-30,1140.84,66.805,0.0161,0.05855772939237756,0.04245772939237756,1,-0.03429052277269373,0.0013416666666666666,-0.03429052277269373
2004-07-30,1101.72,67.0889,0.017,0.06089469193624514,0.04389469193624514,1,0.0022873325345822426,0.0014166666666666668,0.0022873325345822426
2004-08-31,1104.24,67.1675,0.018000000000000002,0.06082690357168732,0.042826903571687315,1,0.009363906397160005,0.0015000000000000002,0.009363906397160005
2004-09-30,1114.58,67.1063,0.0202,0.06020770155574298,0.040007701555742986,1,0.014014247519245071,0.0016833333333333333,0.014014247519245071
2004-10-29,1130.2,67.0659,0.0217,0.059339851353742694,0.03763985135374269,1,0.03859493894885846,0.0018083333333333335,0.03859493894885846
2004-11-30,1173.82,67.3888,0.0241,0.057409824334225014,0.03330982433422501,1,0.03245812816275073,0.0020083333333333333,0.03245812816275073
2004-12-31,1211.92,67.5215,0.025643799999999998,0.05571448610469338,0.03007068610469338,1,-0.025290448214403627,0.002136983333333333,-0.025290448214403627
2005-01-31,1181.27,67.414,0.0275,0.05706908666096659,0.029569086660966592,1,0.018903383646414307,0.0022916666666666667,0.018903383646414307
2005-02-28,1203.6,75.5143,0.0292,0.06274036224659356,0.033540362246593555,1,-0.019117647058823573,0.0024333333333333334,-0.019117647058823573
2005-03-31,1180.59,76.1058,0.031200000000000002,0.06446420857367927,0.03326420857367926,1,-0.02010858977291019,0.0026000000000000003,-0.02010858977291019
2005-04-29,1156.85,75.0754,0.0321,0.06489639970609846,0.03279639970609847,1,0.029952024895189666,0.002675,0.029952024895189666
2005-05-31,1191.5,75.3024,0.033375,0.06319966428871171,0.029824664288711708,1,-0.00014267729752415192,0.0027812500000000003,-0.00014267729752415192
2005-06-30,1191.33,75.5058,0.0351625,0.06337941628264208,0.028216916282642085,1,0.03596820360437514,0.0029302083333333333,0.03596820360437514
2005-07-29,1234.18,76.203,0.037000000000000005,0.06174382991135815,0.024743829911358144,1,-0.01122202596055688,0.0030833333333333338,-0.01122202596055688
2005-08-31,1220.33,77.2741,0.0387,0.06332229806691633,0.024622298066916334,1,0.006948940040808704,0.003225,0.006948940040808704
2005-09-30,1228.81,77.622,0.040650000000000006,0.0631684312464905,0.0225184312464905,1,-0.017740741042146402,0.0033875000000000003,-0.017740741042146402
2005-10-31,1207.01,78.0762,0.0426,0.06468562812238507,0.02208562812238507,1,0.03518612107604735,0.0035499999999999998,0.03518612107604735
2005-11-30,1249.48,77.3849,0.044199999999999996,0.06193368441271569,0.017733684412715695,1,-0.0009523961968179728,0.003683333333333333,-0.0009523961968179728
2005-12-30,1248.29,78.9527,0.0453625,0.06324868419998558,0.017886184199985583,1,0.025474849594244953,0.0037802083333333333,0.025474849594244953
2006-01-31,1280.09,79.6695,0.046799999999999994,0.06223742080634956,0.015437420806349564,1,0.0004452811911663801,0.0038999999999999994,0.0004452811911663801
2006-02-28,1280.66,86.7238,0.048225,0.06771805162962846,0.019493051629628465,1,0.011064607311854768,0.00401875,0.011064607311854768
2006-03-31,1294.83,86.5528,0.05,0.06684491400415499,0.016844914004154984,1,0.012186928013716125,0.004166666666666667,0.012186928013716125
2006-04-28,1310.61,86.2404,0.0513,0.06580172591388743,0.014501725913887431,1,-0.03091690129023883,0.004275,-0.03091690129023883
2006-05-31,1270.09,86.3058,0.0523813,0.06795250730263211,0.01557120730263211,1,8.660803565119224e-05,0.0043651083333333335,8.660803565119224e-05
2006-06-30,1270.2,86.7612,0.054806299999999995,0.06830514879546529,0.013498848795465292,1,0.005085813257754701,0.004567191666666666,0.005085813257754701
2006-07-31,1276.66,86.5824,0.0546563,0.06781946642019018,0.013163166420190185,1,0.021274262528785837,0.004554691666666667,0.021274262528785837
2006-08-31,1303.82,86.3209,0.053975,0.06620614808792624,0.01223114808792624,1,0.02456627448574178,0.0044979166666666666,0.02456627448574178
2006-09-29,1335.85,87.1539,0.0537,0.0652422801961298,0.011542280196129809,1,0.031508028596025195,0.004475,0.031508028596025195
2006-10-31,1377.94,87.4448,0.053706300000000005,0.06346052803460238,0.009754228034602373,1,0.01646660957661439,0.004475525,0.01646660957661439
2006-11-30,1400.63,87.292,0.0537,0.06232338304905649,0.008623383049056493,1,0.012615751483260995,0.004475,0.012615751483260995
2006-12-29,1418.3,87.3356,0.0536,0.061577663399844884,0.007977663399844882,1,0.014059084819854739,0.0044666666666666665,0.014059084819854739
2007-01-31,1438.24,87.455,0.0536,0.06080695850483925,0.007206958504839246,1,-0.021846145288686225,0.0044666666666666665,-0.021846145288686225
2007-02-28,1406.82,94.0314,0.0534813,0.0668396809826417,0.0133583809826417,1,0.009979954791657697,0.0044567750000000005,0.009979954791657697
2007-03-30,1420.86,93.8129,0.0535,0.06602543529974804,0.01252543529974804,1,0.0432906831074138,0.004458333333333333,0.0432906831074138
2007-04-30,1482.37,94.4852,0.05355000000000001,0.06373928236540136,0.010189282365401349,1,0.03254922860014697,0.0044625,0.03254922860014697
2007-05-31,1530.62,94.8739,0.0536,0.06198396728123245,0.008383967281232446,1,-0.017816309730697366,0.0044666666666666665,-0.017816309730697366
2007-06-29,1503.35,95.3021,0.0536,0.06339315528652675,0.009793155286526752,1,-0.031975255263245406,0.0044666666666666665,-0.031975255263245406
2007-07-31,1455.28,96.3206,0.053586600000000005,0.06618698807102413,0.012600388071024128,1,0.012856632400637613,0.00446555,0.012856632400637613
2007-08-31,1473.99,96.0988,0.0562125,0.06519637175286128,0.008983871752861278,1,0.03579400131615551,0.004684375,0.03579400131615551
2007-09-28,1526.75,96.5264,0.0522875,0.06322344850171933,0.010935948501719334,1,0.014822335025380884,0.004357291666666666,0.014822335025380884
2007-10-31,1549.38,94.4494,0.048937499999999995,0.06095948056642011,0.012021980566420114,1,-0.04404342382114135,0.004078124999999999,-0.04404342382114135
2007-11-30,1481.14,92.0411,0.0513125,0.062142066246269764,0.010829566246269767,1,-0.008628488866683881,0.004276041666666667,-0.008628488866683881
2007-12-31,1468.36,89.8025,0.047025,0.06115836715791768,0.01413336715791768,1,-0.061163474897164116,0.0039187499999999995,-0.061163474897164116
2008-01-31,1378.55,86.7037,0.031118800000000002,0.06289485328787495,0.031776053287874945,1,-0.034761162090602316,0.0025932333333333335,-0.034761162090602316
2008-02-29,1330.63,97.4923,0.030575,0.07326777541465321,0.0426927754146532,1,-0.0059595830546433914,0.0025479166666666666,-0.0059595830546433914
2008-03-31,1322.7,96.5861,0.0268813,0.0730219248506842,0.04614062485068421,1,0.04754668481137059,0.0022401083333333334,0.04754668481137059
2008-04-30,1385.59,93.2989,0.0285,0.06733514243030046,0.038835142430300465,1,0.010674153248796614,0.002375,0.010674153248796614
2008-05-30,1400.38,92.4709,0.026806299999999998,0.06603271969036975,0.03922641969036975,1,-0.08596238163926939,0.002233858333333333,-0.08596238163926939
2008-06-30,1280.0,90.7439,0.0278313,0.070893671875,0.04306237187499999,1,-0.009859374999999893,0.002319275,-0.009859374999999893
2008-07-31,1267.38,86.2265,0.027912499999999996,0.0680352380501507,0.04012273805015071,1,0.012190503242910378,0.0023260416666666664,0.012190503242910378
2008-08-29,1282.83,82.2403,0.0281063,0.06410849450044044,0.03600219450044044,1,-0.09079145327128302,0.0023421916666666667,-0.09079145327128302
2008-09-30,1166.36,82.9414,0.040525000000000005,0.07111132069000996,0.030586320690009952,1,-0.16942453444905514,0.003377083333333334,-0.16942453444905514
2008-10-31,968.75,78.3264,0.0302625,0.08085305806451613,0.050590558064516136,1,-0.0748490322580645,0.0025218750000000002,-0.0748490322580645
2008-11-28,896.24,75.6956,0.022168800000000002,0.08445907346246541,0.062290273462465406,1,0.007821565652057494,0.0018474000000000001,0.007821565652057494
2008-12-31,903.25,73.5799,0.01425,0.08146127871574868,0.06721127871574868,1,-0.0856573484638804,0.0011875,-0.0856573484638804
2009-01-30,825.88,68.2423,0.0118438,0.08262980093960381,0.07078600093960381,1,-0.1099312248752845,0.0009869833333333332,-0.1099312248752845
2009-02-27,735.09,63.422,0.0126438,0.08627787073691656,0.07363407073691657,1,0.08540450829150159,0.00105365,0.08540450829150159
2009-03-31,797.87,60.9608,0.0119188,0.07640442678631858,0.06448562678631858,1,0.09392507551355478,0.0009932333333333334,0.09392507551355478
2009-04-30,872.81,59.0179,0.010162500000000001,0.06761826743506605,0.057455767435066044,1,0.053081426656431674,0.0008468750000000001,0.053081426656431674
2009-05-29,919.14,57.9754,0.0065625,0.06307570119894684,0.056513201198946844,1,0.00019583523728705643,0.0005468749999999999,0.00019583523728705643
2009-06-30,919.32,60.1775,0.0059499999999999996,0.06545870861071226,0.059508708610712266,1,0.07414175695078962,0.0004958333333333333,0.07414175695078962
2009-07-31,987.48,60.9379,0.0047938,0.061710515656013286,0.056916715656013285,1,0.033570300157977906,0.00039948333333333333,0.033570300157977906
2009-08-31,1020.63,60.5746,0.003475,0.0593502052653753,0.0558752052653753,1,0.03571323594250608,0.0002895833333333333,0.03571323594250608
2009-09-30,1057.08,60.8235,0.0028688000000000003,0.057539164490861626,0.05467036449086163,1,-0.019752525825859846,0.00023906666666666669,-0.019752525825859846
2009-10-30,1036.2,62.3972,0.0028063,0.0602173325612816,0.057411032561281605,1,0.05735379270411123,0.00023385833333333333,0.05735379270411123
2009-11-30,1095.63,62.9864,0.0025656,0.05748875076440039,0.05492315076440039,1,0.017770597738287375,0.0002138,0.017770597738287375
2009-12-31,1115.1,61.7307,0.0025063000000000004,0.05535889157923057,0.052852591579230564,1,-0.036974262397991176,0.00020885833333333337,-0.036974262397991176
2010-01-29,1073.87,62.3253,0.0024906,0.058038030674103944,0.05554743067410394,1,0.02851369346382726,0.00020755,0.02851369346382726
2010-02-26,1104.49,79.4225,0.0025169000000000003,0.07190875426667512,0.06939185426667512,1,0.05879636755425577,0.0002097416666666667,0.05879636755425577
2010-03-31,1169.43,79.5139,0.0029149999999999996,0.0679937234379142,0.0650787234379142,1,0.014759327193589966,0.00024291666666666664,0.014759327193589966
2010-04-30,1186.69,82.1714,0.0034655999999999997,0.06924420025448938,0.06577860025448938,1,-0.08197591620389488,0.00028879999999999997,-0.08197591620389488
2010-05-31,1089.41,82.7336,0.0053625,0.07594349234906966,0.07058099234906966,1,-0.053882376699314394,0.000446875,-0.053882376699314394
2010-06-30,1030.71,82.3248,0.005339399999999999,0.0798719329394301,0.0745325329394301,1,0.06877783275606131,0.00044494999999999995,0.06877783275606131
2010-07-30,1101.6,83.4917,0.0045375,0.07579130355846042,0.07125380355846042,1,-0.0474491648511256,0.000378125,-0.0474491648511256
2010-08-31,1049.33,83.4866,0.0029563000000000002,0.07956181563473835,0.07660551563473836,1,0.08755110403781474,0.00024635833333333334,0.08755110403781474
2010-09-30,1141.2,83.5576,0.0029,0.07321906764808972,0.07031906764808972,1,0.0368559411146161,0.00024166666666666664,0.0368559411146161
2010-10-29,1183.26,84.2977,0.0028594000000000002,0.07124190794922503,0.06838250794922503,1,-0.0022902827780877377,0.00023828333333333334,-0.0022902827780877377
2010-11-30,1180.55,84.2081,0.0030031000000000003,0.07132954978611665,0.06832644978611666,1,0.06530007200033894,0.0002502583333333334,0.06530007200033894
2010-12-31,1257.64,84.4117,0.0030281,0.06711912789033427,0.06409102789033426,1,0.02264559015298473,0.0002523416666666667,0.02264559015298473
2011-01-31,1286.12,86.7976,0.0030437999999999997,0.06748794824744192,0.06444414824744192,1,0.031956582589494076,0.00025364999999999996,0.031956582589494076
2011-02-28,1327.22,97.3434,0.003095,0.07334383146727746,0.07024883146727746,1,-0.0010473018791158362,0.00025791666666666666,-0.0010473018791158362
2011-03-31,1325.83,98.2523,0.0030299999999999997,0.07410625796670765,0.07107625796670765,1,0.028495357625034856,0.00025249999999999996,0.028495357625034856
2011-04-29,1363.61,99.9809,0.0027300000000000002,0.07332074420105457,0.07059074420105457,1,-0.01350092768460176,0.00022750000000000003,-0.01350092768460176
2011-05-31,1345.2,100.1747,0.0025288,0.07446825750817722,0.07193945750817722,1,-0.018257508177222714,0.00021073333333333332,-0.018257508177222714
2011-06-30,1320.64,100.0778,0.0024575,0.07577977344317906,0.07332227344317906,1,-0.02147443663678228,0.00020479166666666668,-0.02147443663678228
2011-07-29,1292.28,100.2336,0.002555,0.07756337635806482,0.07500837635806482,1,-0.05679109790447878,0.00021291666666666667,-0.05679109790447878
2011-08-31,1218.89,99.7838,0.0032722000000000003,0.08186448325935891,0.07859228325935891,1,-0.07176201297902196,0.00027268333333333334,-0.07176201297902196
2011-09-30,1131.42,99.5266,0.0037432999999999998,0.08796609570274522,0.08422279570274521,1,0.10772303830584562,0.00031194166666666663,0.10772303830584562
2011-10-31,1253.3,98.3856,0.0042944,0.07850123673501955,0.07420683673501954,1,-0.0050586451767333784,0.0003578666666666667,-0.0050586451767333784
2011-11-30,1246.96,98.2481,0.0052889,0.07879009751716173,0.07350119751716173,1,0.008540771155449933,0.00044074166666666667,0.008540771155449933
2011-12-30,1257.61,98.7197,0.005809999999999999,0.07849786499789284,0.07268786499789284,1,0.043574717122160544,0.0004841666666666666,0.043574717122160544
2012-01-31,1312.41,95.8793,0.0054235,0.07305590478585197,0.06763240478585197,1,0.04058944994323421,0.00045195833333333335,0.04058944994323421
2012-02-29,1365.68,105.1623,0.0048425000000000004,0.07700361724562123,0.07216111724562123,1,0.03133237654501775,0.0004035416666666667,0.03133237654501775
2012-03-30,1408.47,105.0963,0.0046815,0.07461735074229482,0.06993585074229482,1,-0.007497497284287169,0.000390125,-0.007497497284287169
2012-04-30,1397.91,106.273,0.0046584999999999994,0.07602277685974061,0.07136427685974062,1,-0.06265067135938662,0.0003882083333333333,-0.06265067135938662
2012-05-31,1310.33,105.8835,0.0046685,0.08080674333946411,0.0761382433394641,1,0.039554921279372435,0.00038904166666666666,0.039554921279372435
2012-06-29,1362.16,105.2615,0.004606,0.07727543019909555,0.07266943019909555,1,0.012597639043871345,0.0003838333333333333,0.012597639043871345
2012-07-31,1379.32,103.3673,0.004426,0.0749407679146246,0.0705147679146246,1,0.019763361656468303,0.00036883333333333337,0.019763361656468303
2012-08-31,1406.58,103.1513,0.0041825000000000005,0.07333482631631334,0.06915232631631334,1,0.024236090375236552,0.0003485416666666667,0.024236090375236552
2012-09-28,1440.67,102.888,0.0035849999999999996,0.07141677136332401,0.06783177136332401,1,-0.01978940354140779,0.00029874999999999997,-0.01978940354140779
2012-10-31,1412.16,102.4643,0.0031274999999999996,0.07255856276909131,0.0694310627690913,1,0.0028467029231815655,0.00026062499999999995,0.0028467029231815655
2012-11-30,1416.18,102.1993,0.003105,0.07216547331553898,0.06906047331553898,1,0.007068310525498056,0.00025875000000000003,0.007068310525498056
2012-12-31,1426.19,102.4251,0.00306,0.07181728942146558,0.06875728942146558,1,0.050428063581991145,0.00025499999999999996,0.050428063581991145
2013-01-31,1498.11,102.3327,0.00298,0.0683078679135711,0.0653278679135711,1,0.011060603026480154,0.0002483333333333333,0.011060603026480154
2013-02-28,1514.68,111.7285,0.0028710000000000003,0.0737637652837563,0.0708927652837563,1,0.035987799403174314,0.00023925000000000001,0.035987799403174314
2013-03-29,1569.19,112.0187,0.0028260000000000004,0.07138632033087133,0.06856032033087134,1,0.01808576399288797,0.00023550000000000003,0.01808576399288797
